SAMPLE_NO,SAMPLE_SOURCE_CODE,SAMPLE_SOURCE,ROCK_GROUP_CODE,ROCK_GROUP,LITHO_CODE,LITHO_CONF,LITHOLOGY_NAME,LITHO_MODIFIER,MAP_SYMBOL,STRAT_CONF,STRAT_NAME,COLLECTED_BY,COLLECTORS_NUMBER,COLLECTED_DATE,DRILLHOLE_NUMBER,DH_NAME,DH_DEPTH_FROM,DH_DEPTH_TO,SITE_NO,EASTING_GDA2020,NORTHING_GDA2020,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,LONGITUDE_GDA94,LATITUDE_GDA94,SAMPLE_ANALYSIS_NO,OTHER_ANALYSIS_ID,ANALYSIS_PROGRAM,ANALYSIS_TYPE_DESC,LABORATORY,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,F_ppm,Fe_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,K_ppm,LOI_ppm,La_ppm,Li_ppm,Lu_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pr_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Si_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
2158413,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07386,20/03/2016,288776,MSDP10,424.0,425.0,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698843,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.1,57600.0,95.1,1e-06,100.0,3.73,0.18,4000.0,0.49,153.0,0.8,5.0,3.39,2.1,,,,,12200.0,17.7,,0.23,6.4,,0.059,42800.0,,71.6,14.0,,1000.0,436.0,1.17,13000.0,21.8,,0.7,30.0,52.0,,,,255.0,1e-06,400.0,0.58,4.2,2.0,,,4.1,25.5,1.53,,1e-06,32.9,920.0,1.38,,6.2,1.0,2.8,53.1,,99.0,194.5
2158414,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07387,20/03/2016,288776,MSDP10,425.0,426.0,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698844,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.15,61700.0,65.3,1e-06,110.0,3.98,0.19,1600.0,0.14,156.0,1.0,7.0,3.7,2.1,,,,,11800.0,19.1,,0.22,7.1,,0.052,46300.0,,72.2,12.9,,1000.0,348.0,1.96,12900.0,24.0,,1.5,30.0,19.5,,,,286.0,1e-06,400.0,0.55,4.4,2.0,,,4.7,26.6,1.69,,1e-06,36.9,1050.0,1.49,,7.5,1.0,3.4,50.2,,40.0,218.0
2158415,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07388,20/03/2016,288776,MSDP10,426.0,426.6,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698845,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.11,55000.0,69.4,1e-06,100.0,3.55,0.2,1600.0,0.49,155.5,0.5,2.0,3.45,1.9,,,,,11299.999999999998,17.05,,0.24,6.0,,0.06,39300.0,,73.3,14.9,,1000.0,428.0,0.68,11700.0,20.5,,0.9,40.0,105.5,,,,245.0,1e-06,1100.0,0.57,4.1,2.0,,,4.2,22.1,1.46,,1e-06,32.1,890.0,1.34,,6.2,1.0,1.3,47.2,,97.0,180.5
2158416,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07389,20/03/2016,288776,MSDP10,454.8,455.5,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698846,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.04,58000.0,19.9,1e-06,90.0,3.77,0.11,1700.0000000000002,0.05,157.0,0.5,4.0,5.32,1.3,,,,,9400.0,19.7,,0.24,6.6,,0.056,39800.0,,73.6,13.5,,900.0,304.0,0.69,8600.0,22.3,,0.5,40.0,20.5,,,,279.0,1e-06,1800.0,0.57,3.9,2.0,,,4.5,19.8,1.58,,1e-06,34.2,940.0,1.33,,6.8,1.0,2.4,52.9,,22.0,202.0
2158417,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07390,20/03/2016,288776,MSDP10,474.0,475.0,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698847,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.46,56700.0,37.9,1e-06,100.0,4.28,0.06,1400.0000000000002,1.85,113.0,1.0,6.0,4.73,3.6,,,,,14100.0,19.75,,0.2,6.0,,0.061,39800.0,,50.8,24.1,,1300.0,651.0,46.8,7100.0,20.5,,1.0,50.0,88.2,,,,267.0,1e-06,3200.0,1.41,5.9,2.0,,,4.0,17.3,1.43,,0.06,30.9,1000.0,1.52,,6.5,2.0,3.2,50.4,,279.0,190.0
2158418,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07391,20/03/2016,288776,MSDP10,481.7,482.0,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698848,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.71,59100.0,51.1,0.01,90.0,4.86,0.13,2400.0,9.64,145.0,1.1,3.0,5.31,14.8,,,,,24100.0,24.5,,0.23,6.8,,0.082,40400.0,,71.3,17.5,,1200.0,227.0,14.95,7200.0,22.2,,1.5,50.0,263.0,,,,294.0,1e-06,22000.0,1.06,3.7,2.0,,,5.1,19.3,1.62,,0.05,35.0,1019.9999999999999,1.61,,7.3,1.0,1.0,51.4,,1500.0,204.0
2158419,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07392,20/03/2016,288776,MSDP10,485.0,486.0,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698849,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.15,56100.0,30.9,1e-06,100.0,5.01,0.16,2400.0,5.23,150.0,1.1,1.0,3.38,3.6,,,,,14500.0,17.65,,0.23,6.6,,0.066,43099.99999999999,,71.6,15.3,,1200.0,569.0,3.07,11800.0,22.2,,0.9,40.0,162.0,,,,259.0,1e-06,6000.0,0.43,7.1,2.0,,,3.8,24.1,1.56,,1e-06,33.6,970.0,1.42,,6.6,1.0,1.3,55.3,,735.0,201.0
2158420,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07393,20/03/2016,288776,MSDP10,486.0,487.0,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698850,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.15,57100.0,27.6,1e-06,90.0,6.46,0.15,5400.0,8.56,155.5,1.0,4.0,3.69,3.0,,,,,16200.000000000002,20.2,,0.24,6.7,,0.094,39800.0,,72.1,16.3,,1200.0,650.0,3.96,12000.0,21.4,,0.5,40.0,86.8,,,,260.0,1e-06,6300.0,0.38,6.6,2.0,,,3.8,23.5,1.56,,1e-06,34.5,940.0,1.38,,7.0,1.0,2.0,62.9,,1060.0,200.0
2158421,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07395,20/03/2016,288776,MSDP10,487.0,488.0,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698851,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.19,58000.0,18.5,1e-06,90.0,4.39,0.14,2000.0,4.17,146.0,0.9,6.0,3.33,3.0,,,,,13400.0,17.95,,0.22,6.6,,0.069,43300.0,,66.5,12.5,,1000.0,521.0,2.5,13500.0,22.1,,1.4,30.0,112.5,,,,262.0,1e-06,2300.0,0.27,5.1,2.0,,,3.8,24.3,1.59,,1e-06,33.7,970.0,1.36,,6.4,1.0,1.8,53.1,,538.0,197.0
2158422,QCORE,Sawn quarter drill core,,,,,,,,,,MINOTAUR EXPLORATION LTD.,MEP07396,20/03/2016,288776,MSDP10,488.0,489.0,2015094,562243.79,6386983.44,53,135.6637168,-32.6530224,135.6637071,-32.6530082,1698852,,,GEOCHEMISTRY,Australian Laboratory Services (ALS),0.09,58200.0,20.5,1e-06,100.0,5.15,0.14,1900.0,2.04,148.0,0.6,2.0,3.77,2.7,,,,,9600.0,19.1,,0.22,6.7,,0.06,42300.00000000001,,68.3,12.4,,900.0,406.0,2.53,12800.0,22.0,,1.2,30.0,67.2,,,,269.0,1e-06,1300.0,0.25,4.5,2.0,,,3.9,24.5,1.59,,1e-06,33.9,960.0,1.43,,6.6,1.0,1.1,51.3,,287.0,196.0
