SAMPLE_NO,SAMPLE_SOURCE_CODE,SAMPLE_SOURCE,ROCK_GROUP_CODE,ROCK_GROUP,LITHO_CODE,LITHO_CONF,LITHOLOGY_NAME,LITHO_MODIFIER,MAP_SYMBOL,STRAT_CONF,STRAT_NAME,COLLECTED_BY,COLLECTORS_NUMBER,COLLECTED_DATE,DRILLHOLE_NUMBER,DH_NAME,DH_DEPTH_FROM,DH_DEPTH_TO,SITE_NO,EASTING_GDA2020,NORTHING_GDA2020,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,LONGITUDE_GDA94,LATITUDE_GDA94,SAMPLE_ANALYSIS_NO,OTHER_ANALYSIS_ID,ANALYSIS_PROGRAM,ANALYSIS_TYPE_DESC,LABORATORY,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,F_ppm,Fe_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,K_ppm,LOI_ppm,La_ppm,Li_ppm,Lu_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pr_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Si_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
2137547,PULP,"Pulp / powdered rock of known origin, typically a lab return",SSL,Sediment Siliciclastic Lutite,SLST,,Siltstone,,Nnt,,Tapley Hill Formation,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,23.0,24.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688394,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",2.31,72611.80206403811,25.0,0.0003,348.2,4.5,0.55,25148.367952522254,2.84,92.7,27.7,77.0,10.56,85.0,6.88,3.67,2.01,1152.0,52108.834021123315,19.1,8.2,1e-06,5.3,1.35,0.078,40428.35796114893,101500.0,44.0,54.0,0.51,24724.115057589097,2710.656753407683,1.2,6602.3738872403555,18.6,42.9,47.0,1178.3189316575022,1755.0,0.0002,10.8,1e-06,201.0,1e-06,19079.0,1.77,17.0,1e-06,251250.40901229376,9.67,4.0,83.0,1.6,1.23,0.1,16.81,6893.244620272133,1.49,0.53,3.57,153.0,2.0,36.4,3.44,1188.0,190.0
2137548,PULP,"Pulp / powdered rock of known origin, typically a lab return",SCC,Sediment Chemical/Biogenic Carbonate,DLOM,,Dolomite Rock,,Nnt,,Tapley Hill Formation,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,30.0,30.5,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688395,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",2.74,26726.647261180206,26.0,0.0003,1211.1,3.5,2.18,107344.21364985163,0.8,53.4,19.7,1e-06,4.36,2219.0,2.81,1.49,0.75,601.0,22801.98643071973,9.3,3.12,1e-06,2.7,0.53,0.102,18346.339033704135,217300.0,35.8,19.9,0.19,57046.3727914129,8828.996282527882,4.6,2002.967359050445,7.7,14.9,5.0,218.20720956620409,51.0,0.0001,4.91,1e-06,83.6,0.004,9092.0,2.06,1e-06,1.2,193754.96657785258,3.16,1.0,68.5,0.5,0.51,0.09,6.27,1978.0614997302646,1.27,0.2,21.16,54.0,1e-06,14.4,1.31,62.0,95.0
2137549,PULP,"Pulp / powdered rock of known origin, typically a lab return",IFE,Igneous Felsic Extrusive,RHYO,,Rhyolite,,Mau,,Eucarro Rhyolite,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,30.5,32.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688396,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.21,70971.15639057952,5.7,1e-06,1422.2,3.2,0.2,14985.163204747774,1e-06,125.2,13.1,1e-06,4.69,210.0,8.14,4.88,2.19,878.0,51619.22081555571,19.2,8.47,1e-06,7.3,1.74,0.067,50971.27677237258,49000.0,59.3,53.8,0.69,15256.588072122051,1394.0520446096655,0.8,8827.893175074183,20.8,49.6,5.0,1614.73335078991,9.0,1e-06,14.16,1e-06,202.8,1e-06,525.0,0.53,16.0,1e-06,284859.5334922638,9.48,3.0,65.8,1.4,1.34,0.06,28.56,7612.539711083139,0.87,0.71,5.38,114.0,2.0,46.1,4.51,41.0,276.0
2137550,QCORE,Sawn quarter drill core,IFE,Igneous Felsic Extrusive,RHYO,,Rhyolite,,Mau,,Eucarro Rhyolite,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,48.0,49.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688397,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.07,69648.05504101615,4.7,1e-06,1065.4,3.0,0.69,6899.109792284867,1e-06,171.2,10.5,1e-06,3.89,2.0,8.52,4.98,2.01,754.0,43155.90683360145,19.5,9.05,1e-06,7.5,1.72,0.062,69981.73667607504,32599.999999999996,93.4,28.8,0.75,8985.105228245793,697.0260223048327,0.6,1706.231454005935,25.9,64.4,3.0,829.1873963515756,7.0,1e-06,19.3,1e-06,259.1,1e-06,75.0,0.74,10.0,1e-06,306735.8481746366,11.32,3.0,34.1,1.9,1.41,0.05,36.91,4615.47683270395,1.08,0.74,5.45,63.0,1.0,47.8,4.81,41.0,300.0
2137551,PULP,"Pulp / powdered rock of known origin, typically a lab return",GB,Breccia (Undifferentiated),BREC,,Breccia (Undiff. Origin),,Mau,,Eucarro Rhyolite,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,64.0,65.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688398,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.98,67319.3966657846,16.5,1e-06,1067.5,6.3,1.75,2448.0712166172107,1e-06,265.8,8.8,1e-06,14.83,129.0,9.07,5.06,3.68,1749.0,49870.60222424285,18.1,12.76,1e-06,8.7,1.82,0.095,62593.391997343526,36800.0,134.6,50.4,0.78,11095.700416088765,309.78934324659235,2.7,1261.127596439169,26.4,140.3,5.0,698.2630706118531,14.0,1e-06,37.47,1e-06,269.3,0.002,173.0,0.91,1e-06,1e-06,307997.94325246575,20.0,4.0,42.7,2.0,1.67,0.07,50.79,3596.4754540550266,1.19,0.77,6.98,36.0,1e-06,49.5,5.15,40.0,312.0
2137552,PULP,"Pulp / powdered rock of known origin, typically a lab return",IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,67.0,68.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688399,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.15,71553.3209843874,5.6,1e-06,812.2,3.1,0.17,28931.75074183976,1e-06,48.0,50.4,80.0,2.1,4.0,5.94,3.44,1.68,1043.0,68755.68301042177,19.0,6.31,1e-06,4.2,1.22,0.096,54042.8357961149,90500.0,20.1,80.1,0.49,40824.941204848335,2865.5514250309793,0.8,1038.5756676557864,7.7,24.0,32.0,1571.0919088766693,1e-06,1e-06,5.73,1e-06,97.9,1e-06,1e-06,0.35,30.0,1e-06,226896.64843640444,5.71,1.0,27.9,0.4,0.96,0.07,8.79,9111.071150272734,0.64,0.49,2.46,207.0,1e-06,33.6,3.19,159.0,162.0
2137553,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,90.0,91.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688400,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.06,77374.96692246625,11.8,0.0001,466.6,2.4,0.13,19065.28189910979,1e-06,57.9,31.7,85.0,8.09,47.0,5.15,2.74,2.12,981.0,119605.51164579982,19.8,5.76,0.13,3.5,1.02,0.078,53461.730034866356,68000.0,27.0,84.1,0.36,36302.23723089911,1316.6047087980176,0.7,10311.572700296734,5.7,27.4,29.0,1352.8846993104653,24.0,1e-06,6.9,1e-06,177.0,1e-06,86.0,1.02,28.0,1e-06,205674.75342401722,6.07,1.0,55.7,0.3,0.89,0.06,4.19,7972.187256488642,1.09,0.38,1.27,283.0,1e-06,24.7,2.39,145.0,130.0
2137554,PULP,"Pulp / powdered rock of known origin, typically a lab return",IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,110.0,111.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688401,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.05,71923.78936226515,3.8,0.0001,292.7,1.2,0.09,21068.249258160235,0.06,99.4,46.1,67.0,2.98,128.0,4.92,2.69,2.58,884.0,64209.27467300832,18.9,6.81,1e-06,3.4,0.98,0.067,28142.121866179652,83100.0,37.5,118.5,0.4,58855.454380992574,1858.7360594795541,0.3,13501.483679525221,6.9,65.3,35.0,1309.2432573972244,12.0,1e-06,15.47,1e-06,87.2,1e-06,1058.0,0.17,27.0,1e-06,232178.75005843033,10.1,1.0,47.0,0.3,0.92,0.06,8.74,8391.776059461727,0.56,0.39,1.37,220.0,1e-06,24.5,2.49,235.0,128.0
2137555,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,125.0,126.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688402,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",1e-06,83990.47367028314,4.0,0.0002,758.4,1.8,0.01,15059.3471810089,0.05,55.3,48.6,80.0,3.63,4.0,6.14,3.16,2.58,835.0,91417.77995383646,19.6,6.87,1e-06,3.8,1.18,0.075,13365.432508716589,63200.0,25.1,69.8,0.46,56624.2537538443,1316.6047087980176,0.2,28338.278931750738,6.8,29.7,42.0,1396.5261412237062,7.0,1e-06,7.29,1e-06,44.2,1e-06,1e-06,0.09,31.0,1e-06,214976.8615902398,6.85,1.0,427.3,0.4,1.01,0.08,4.81,9650.542468380989,0.29,0.46,1.13,268.0,1e-06,31.4,2.8,235.0,142.0
2137556,PULP,"Pulp / powdered rock of known origin, typically a lab return",IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,150.0,151.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688403,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.1,79756.54935168034,4.9,0.0001,582.7,0.9,0.03,24851.632047477742,0.03,54.8,39.8,68.0,0.38,23.0,5.15,2.97,1.93,792.0,78478.0023781213,20.0,5.79,1e-06,3.8,1.04,0.061,14527.644031213682,56900.00000000001,25.6,63.7,0.4,39980.703129711146,1548.9467162329618,0.2,33308.605341246286,7.1,27.5,35.0,1396.5261412237062,30.0,1e-06,6.87,1e-06,48.1,1e-06,1e-06,0.1,28.0,1e-06,234282.2418548123,6.05,2.0,213.2,0.4,0.9,0.06,5.67,8451.717317029312,0.29,0.46,1.17,218.0,1e-06,28.2,2.59,192.0,143.0
2137557,PULP,"Pulp / powdered rock of known origin, typically a lab return",IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,169.0,170.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688404,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.19,77798.35935432655,5.6,1e-06,893.0,1.2,0.04,17581.60237388724,1e-06,59.8,46.0,95.0,2.91,36.0,5.54,3.08,2.16,749.0,103797.99958033154,19.4,6.19,1e-06,3.9,1.12,0.074,15606.840444960982,56900.00000000001,27.8,70.3,0.41,51438.21986371584,1781.288723667906,0.4,26186.943620178037,6.9,30.8,26.0,1571.0919088766693,15.0,1e-06,7.44,1e-06,53.3,1e-06,1e-06,1e-06,32.0,1e-06,218342.44846445098,6.6,1.0,379.0,0.3,0.99,1e-06,5.05,9710.483725948572,0.35,0.45,1.13,301.0,1e-06,29.4,2.69,223.0,146.0
2137558,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,190.0,191.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688405,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.06,89970.89177030961,3.3,1e-06,811.0,0.8,0.02,21810.08902077151,0.03,84.7,39.6,77.0,2.36,10.0,5.13,2.87,2.36,609.0,81765.40532978946,20.1,6.46,1e-06,3.6,1.03,0.063,27893.07653993027,55300.0,31.2,55.9,0.39,35337.39371645661,1316.6047087980176,0.2,26038.57566765578,6.2,46.7,37.0,1309.2432573972244,12.0,1e-06,11.08,1e-06,95.2,1e-06,1e-06,0.06,27.0,1e-06,227971.76646566638,8.04,1.0,165.1,0.3,0.92,1e-06,7.44,8331.834801894143,0.53,0.41,1.31,229.0,1e-06,26.3,2.51,192.0,129.0
2137559,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,210.0,211.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688406,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.08,70547.76395871924,7.5,0.0007,975.2,2.1,0.36,26261.127596439168,0.13,143.6,39.1,1e-06,1.07,2.0,11.25,5.93,4.07,914.0,109463.52381618523,23.2,13.25,1e-06,7.6,2.19,0.123,19923.62609995019,66900.0,68.8,52.0,0.74,34131.33932340348,1548.9467162329618,0.6,19287.833827893173,13.5,69.9,7.0,3534.9567949725065,27.0,1e-06,17.79,1e-06,65.6,1e-06,1e-06,0.1,25.0,1e-06,222829.89763006594,14.43,2.0,143.3,0.8,2.01,0.06,12.75,13187.076664868431,0.38,0.83,5.32,160.0,1e-06,57.1,4.87,182.0,293.0
2137560,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,234.0,235.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688407,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",1e-06,64990.738290553054,7.2,0.0008,1437.0,2.1,0.13,24703.26409495549,0.16,90.4,40.0,21.0,2.52,2.0,10.16,5.28,3.1,1039.0,94005.7354689795,20.0,10.96,1e-06,7.3,1.97,0.115,24572.47218993857,63099.99999999999,41.3,54.4,0.71,31960.441415907855,1394.0520446096655,0.6,13946.587537091986,12.5,47.3,6.0,3185.8252596665793,17.0,0.0002,11.16,0.0001,77.8,1e-06,111.0,0.11,21.0,1e-06,236385.7336511943,10.76,2.0,227.0,0.8,1.7,0.06,12.7,12287.957801354672,0.44,0.77,4.07,139.0,1e-06,53.4,4.59,156.0,295.0
2137561,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,254.0,255.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688408,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.08,72558.87801005557,5.8,1e-06,732.1,2.1,0.13,21290.80118694362,1e-06,193.3,33.8,1e-06,2.7,6.0,10.43,5.53,4.51,3564.0,96313.9120095125,22.2,13.62,1e-06,8.0,2.02,0.084,30134.484476174664,53000.0,84.2,42.2,0.76,25508.05041307363,1239.1573729863694,0.3,18916.913946587534,13.8,116.0,6.0,3753.16400453871,12.0,1e-06,28.62,1e-06,75.8,1e-06,151.0,0.08,26.0,1e-06,239470.85495255457,18.27,2.0,260.5,0.9,1.86,1e-06,18.37,13546.724210273931,0.58,0.78,2.95,162.0,1e-06,52.3,4.83,118.0,301.0
2137562,QCORE,Sawn quarter drill core,SSRB,Sediment Siliciclastic Rudite Breccia,SBRC,,Sedimentary Siliciclastic Breccia,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,271.0,272.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688409,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.08,41016.141836464674,3.4,0.0002,1097.3,1.2,0.22,67136.49851632048,1e-06,77.4,21.4,1e-06,0.44,14.0,6.99,3.5,2.94,573.0,62810.37979995804,13.5,9.31,1e-06,4.6,1.35,0.246,17101.11240245725,119400.0,38.1,38.3,0.43,27678.948320569256,3717.4721189591082,0.9,10089.020771513353,8.6,42.1,4.0,2182.0720956620407,6.0,1e-06,10.43,1e-06,37.3,1e-06,1061.0,0.13,15.0,1e-06,245547.60903099144,9.45,2.0,106.3,0.5,1.31,0.05,7.28,7192.950908110053,0.22,0.5,4.37,76.0,1e-06,38.1,2.88,76.0,178.0
2137563,QCORE,Sawn quarter drill core,I-EF,Igneous Extrusive Fragmental,VOCL,,Volcaniclastic Rock,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,286.0,287.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688410,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.1,66419.6877480815,5.8,1e-06,1397.7,2.2,0.06,30712.16617210682,1e-06,102.5,35.4,1e-06,2.12,8.0,9.72,5.46,3.34,1177.0,91138.0009792264,22.7,10.9,1e-06,7.7,1.96,0.133,38851.07089490287,72000.0,48.5,53.1,0.72,32322.257733823797,1858.7360594795541,0.8,4747.774480712166,13.4,51.9,5.0,3360.391027319543,14.0,1e-06,12.94,1e-06,127.3,1e-06,131.0,0.1,24.0,1e-06,231477.586126303,11.44,2.0,55.8,0.8,1.64,1e-06,12.46,12587.66408919259,0.74,0.77,5.4,144.0,1e-06,53.1,4.79,143.0,285.0
2137564,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,303.0,304.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688411,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",1e-06,68166.18152950516,6.7,1e-06,1428.1,1.9,0.04,27596.439169139467,1e-06,117.2,33.2,1e-06,3.7,4.0,11.08,5.96,3.59,1111.0,123872.14100860321,22.5,12.06,1e-06,7.6,2.19,0.119,22165.03403619459,65500.0,56.9,58.6,0.78,28885.00271362238,1548.9467162329618,0.5,13872.403560830859,13.0,58.6,5.0,3578.5982368857467,14.0,1e-06,14.67,1e-06,65.7,1e-06,203.0,0.09,27.0,1e-06,221334.08124152763,12.58,2.0,235.0,0.9,1.86,0.05,12.82,13187.076664868431,0.54,0.85,3.27,159.0,1e-06,56.7,5.12,126.0,293.0
2137565,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,326.0,327.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688412,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",1e-06,73405.66287377613,7.9,1e-06,168.4,1.8,0.06,63649.851632047474,1e-06,80.8,36.6,36.0,8.72,24.0,7.69,4.19,2.77,893.0,85542.42148702526,20.9,8.41,1e-06,5.4,1.52,0.086,22829.15490619293,110800.0,35.5,53.1,0.55,20804.438280166436,1858.7360594795541,0.8,17136.498516320473,8.3,41.8,23.0,2312.996421401763,8.0,1e-06,10.07,1e-06,79.7,0.002,128.0,0.12,30.0,1e-06,208011.9665311083,9.15,2.0,92.9,0.6,1.32,0.06,7.49,13187.076664868431,0.48,0.58,1.35,320.0,1e-06,40.3,3.69,82.0,209.0
2137566,QCORE,Sawn quarter drill core,IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,342.0,343.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688413,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.05,75628.4731410426,7.1,1e-06,109.8,2.0,0.05,58605.3412462908,0.11,57.5,44.4,31.0,8.96,5.0,7.86,4.4,2.28,1171.0,76589.49429950339,21.8,8.3,1e-06,6.4,1.64,0.079,21832.97360119542,112300.0,26.2,70.0,0.58,29186.516311885665,1858.7360594795541,2.0,3041.543026706231,8.8,32.4,22.0,2312.996421401763,1e-06,1e-06,7.59,1e-06,105.3,0.004,203.0,0.11,31.0,1e-06,210769.87799747585,7.58,2.0,55.8,0.5,1.31,0.06,7.03,13426.841695138766,0.64,0.62,10.47,323.0,1e-06,42.3,3.78,108.0,239.0
2137567,PULP,"Pulp / powdered rock of known origin, typically a lab return",IME,Igneous Mafic Extrusive,BSLT,,Basalt,,Mar,,Roopena Basalt,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,353.0,354.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688414,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",1e-06,71712.09314633501,5.9,1e-06,227.3,2.6,0.05,24851.632047477742,0.08,69.7,45.9,35.0,6.24,111.0,7.09,3.9,2.2,1424.0,118696.22997831712,21.8,7.0,1e-06,5.1,1.43,0.088,16187.946206209532,61400.0,32.5,75.6,0.53,27920.15919917988,1161.7100371747213,1.8,23664.6884272997,8.4,34.9,23.0,2225.7135375752814,18.0,1e-06,8.48,1e-06,59.9,1e-06,99.0,0.57,30.0,1e-06,223951.75992146964,7.55,2.0,60.7,0.5,1.28,1e-06,6.67,12467.781574057426,0.29,0.55,1.28,292.0,1e-06,35.7,3.47,96.0,192.0
2137568,QCORE,Sawn quarter drill core,GB,Breccia (Undifferentiated),BREC,,Breccia (Undiff. Origin),,Ma15,,Gawler Range Volcanics unit 15,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,368.0,369.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688415,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.15,66366.76369409898,7.5,0.0001,91.2,5.2,0.74,18471.81008902077,0.09,86.8,72.6,24.0,7.0,18.0,8.03,4.6,2.3,1821.0,76099.8810939358,22.2,8.35,1e-06,5.9,1.59,0.107,15274.780009961814,73400.0,39.3,85.4,0.65,31478.019658686604,1548.9467162329618,0.9,5637.982195845697,15.0,41.0,26.0,1091.0360478310204,16.0,1e-06,10.36,1e-06,94.0,1e-06,1e-06,0.25,24.0,1e-06,266208.5728976768,8.93,2.0,24.8,0.4,1.31,1e-06,6.82,11089.132650002997,0.47,0.68,30.55,258.0,2.0,46.5,4.1,166.0,265.0
2137569,QCORE,Sawn quarter drill core,I-EF,Igneous Extrusive Fragmental,VOCL,,Volcaniclastic Rock,,Ma15,,Gawler Range Volcanics unit 15,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,370.0,371.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688416,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",0.11,73141.04260386346,3.5,1e-06,402.6,4.7,0.41,6454.0059347181,1e-06,162.1,4.2,1e-06,9.85,3.0,9.34,5.33,2.17,2099.0,51479.331328250686,19.5,9.58,1e-06,10.1,1.84,0.077,40096.29752614976,39200.0,84.4,24.8,0.77,8321.775312066573,542.1313506815367,2.4,8160.237388724036,24.4,64.6,1e-06,785.5459544383347,5.0,1e-06,18.35,1e-06,211.2,1e-06,1e-06,0.43,1e-06,1e-06,308605.6186603094,11.5,2.0,28.3,1.7,1.54,1e-06,31.61,4675.418090271534,1.08,0.77,7.67,33.0,2.0,52.0,4.91,25.0,380.0
2137570,QCORE,Sawn quarter drill core,IFE,Igneous Felsic Extrusive,RHYO,,Rhyolite,,Ma15,,Gawler Range Volcanics unit 15,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,390.0,391.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688417,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",1e-06,76475.25800476316,4.7,1e-06,1191.5,3.3,0.19,8976.26112759644,0.02,183.0,10.1,1e-06,4.48,2.0,10.09,5.8,2.6,1112.0,31335.24515632651,20.0,10.83,1e-06,10.1,2.03,0.092,47567.65731363108,31200.0,94.8,20.4,0.89,9346.921546161731,774.4733581164809,1.1,20400.593471810087,24.5,71.9,3.0,1003.7531640045388,1e-06,1e-06,20.49,1e-06,210.7,1e-06,1e-06,0.64,1e-06,1e-06,308886.08423316036,12.98,3.0,59.9,1.8,1.7,1e-06,33.12,4915.183120541868,1.09,0.88,6.88,28.0,1e-06,56.4,5.4,39.0,396.0
2137571,QCORE,Sawn quarter drill core,IFE,Igneous Felsic Extrusive,RHYO,,Rhyolite,,Ma15,,Gawler Range Volcanics unit 15,"FABRIS, A.J.",,17/09/2015,287995,MSDP01,569.0,570.0,2010954,724658.48,6408349.26,53,137.3896326,-32.4393574,137.3896226,-32.4393433,1688418,EX 3551,,GEOCHEMISTRY,"Genalysis Laboratory Services Pty Ltd, W.A.",1e-06,74569.99206139191,1.8,1e-06,1345.0,2.2,0.11,9421.364985163204,0.1,173.4,7.6,1e-06,2.11,4.0,8.94,5.22,2.36,636.0,33573.47695320696,17.4,9.81,1e-06,10.6,1.81,0.051,47318.61198738171,26900.0,89.3,21.6,0.76,9648.435144425013,1006.8153655514252,0.7,24703.26409495549,23.6,67.1,1.0,785.5459544383347,7.0,1e-06,19.29,1e-06,201.3,1e-06,1e-06,1.05,1e-06,1e-06,307109.8022717712,12.03,3.0,84.8,1.7,1.51,1e-06,32.77,4615.47683270395,0.73,0.78,5.68,18.0,1e-06,49.4,4.81,61.0,407.0
